iter	Passed	Remaining
0	0	389
1	1	408
2	2	405
3	3	387
4	3	371
5	4	371
6	5	353
7	5	339
8	6	336
9	6	334
10	7	322
11	7	312
12	8	308
13	8	306
14	9	303
15	9	296
16	10	292
17	10	289
18	11	284
19	11	284
20	12	281
21	12	279
22	13	277
23	13	274
24	14	272
25	14	270
26	15	270
27	15	269
28	16	269
29	17	269
30	17	268
31	18	266
32	18	265
33	19	263
34	19	264
35	20	262
36	20	261
37	21	259
38	21	258
39	22	258
40	22	257
41	23	257
42	24	256
43	24	256
44	25	256
45	25	255
46	26	254
47	26	253
48	27	251
49	27	249
50	28	248
51	28	247
52	29	247
53	29	245
54	30	244
55	30	243
56	31	243
57	31	242
58	32	242
59	32	241
60	33	241
61	33	239
62	34	239
63	34	238
64	35	237
65	35	236
66	36	235
67	36	234
68	37	233
69	37	233
70	38	232
71	38	231
72	39	230
73	40	230
74	40	229
75	41	229
76	41	228
77	42	228
78	43	229
79	43	229
80	44	230
81	45	231
82	46	231
83	47	233
84	47	232
85	48	232
86	48	231
87	49	231
88	49	230
89	50	229
90	50	228
91	51	228
92	52	228
93	52	227
94	53	227
95	53	227
96	54	226
97	54	225
98	55	224
99	56	224
100	56	222
101	56	221
102	57	221
103	57	220
104	58	219
105	58	218
106	59	217
107	59	216
108	59	215
109	60	214
110	60	213
111	61	212
112	61	211
113	62	210
114	62	209
115	63	208
116	63	207
117	63	207
118	64	206
119	65	205
120	65	205
121	66	204
122	66	204
123	67	203
124	67	203
125	68	202
126	68	201
127	69	200
128	69	200
129	70	200
130	71	200
131	72	201
132	73	201
133	73	200
134	73	199
135	74	198
136	74	198
137	76	199
138	77	200
139	77	199
140	78	198
141	78	197
142	78	197
143	79	196
144	79	195
145	80	194
146	80	194
147	81	193
148	81	192
149	82	192
150	82	191
151	83	190
152	83	189
153	84	189
154	84	188
155	85	187
156	85	187
157	86	186
158	86	185
159	86	184
160	87	183
161	87	183
162	88	182
163	88	181
164	88	180
165	89	179
166	89	179
167	90	178
168	90	177
169	91	176
170	91	175
171	91	175
172	92	174
173	92	173
174	93	172
175	93	171
176	93	171
177	94	170
178	94	169
179	95	169
180	95	168
181	95	167
182	96	166
183	96	166
184	97	165
185	97	164
186	97	163
187	98	163
188	98	162
189	99	161
190	99	161
191	100	160
192	100	159
193	101	159
194	101	158
195	102	158
196	102	157
197	103	157
198	103	156
199	104	156
200	104	155
201	105	155
202	105	154
203	106	154
204	106	153
205	107	152
206	107	152
207	107	151
208	108	150
209	108	150
210	109	149
211	109	148
212	109	147
213	110	147
214	110	146
215	110	145
216	111	145
217	111	144
218	112	143
219	112	143
220	112	142
221	113	141
222	113	141
223	113	140
224	114	139
225	114	139
226	115	138
227	115	137
228	115	137
229	116	136
230	116	135
231	117	135
232	117	134
233	117	134
234	118	133
235	118	132
236	119	132
237	119	131
238	119	130
239	120	130
240	120	129
241	121	129
242	121	128
243	121	127
244	122	127
245	122	126
246	122	125
247	123	125
248	123	124
249	124	124
250	124	123
251	125	123
252	125	122
253	126	122
254	126	121
255	126	121
256	127	120
257	127	119
258	128	119
259	128	118
260	129	118
261	129	117
262	129	117
263	130	116
264	130	116
265	131	115
266	131	114
267	132	114
268	132	113
269	132	113
270	133	112
271	133	112
272	134	111
273	134	110
274	134	110
275	135	109
276	135	109
277	136	108
278	136	108
279	137	108
280	138	107
281	138	107
282	138	106
283	139	105
284	139	105
285	140	104
286	140	104
287	140	103
288	141	103
289	141	102
290	142	102
291	142	101
292	143	101
293	143	100
294	143	99
295	144	99
296	144	98
297	145	98
298	145	98
299	146	97
300	146	97
301	147	96
302	148	96
303	148	95
304	148	95
305	149	94
306	149	94
307	149	93
308	150	92
309	151	92
310	151	92
311	151	91
312	152	91
313	152	90
314	153	89
315	153	89
316	153	88
317	154	88
318	154	87
319	155	87
320	155	86
321	155	86
322	156	85
323	156	85
324	157	84
325	157	84
326	157	83
327	158	82
328	158	82
329	158	81
330	159	81
331	159	80
332	160	80
333	160	79
334	160	79
335	161	78
336	161	78
337	162	77
338	162	77
339	162	76
340	163	76
341	163	75
342	164	75
343	164	74
344	164	74
345	165	73
346	165	73
347	165	72
348	166	71
349	166	71
350	167	70
351	167	70
352	167	69
353	168	69
354	168	68
355	168	68
356	169	67
357	169	67
358	170	66
359	170	66
360	170	65
361	171	65
362	171	64
363	172	64
364	172	63
365	172	63
366	173	62
367	173	62
368	174	61
369	174	61
370	174	60
371	175	60
372	175	59
373	175	59
374	176	58
375	176	58
376	177	57
377	177	57
378	177	56
379	178	56
380	178	55
381	178	55
382	179	54
383	179	54
384	180	53
385	180	53
386	180	52
387	181	52
388	181	51
389	181	51
390	182	50
391	182	50
392	183	49
393	183	49
394	183	48
395	184	48
396	184	47
397	185	47
398	185	46
399	185	46
400	186	45
401	186	45
402	186	44
403	187	44
404	187	44
405	188	43
406	188	43
407	188	42
408	189	42
409	189	41
410	189	41
411	190	40
412	190	40
413	191	39
414	191	39
415	191	38
416	192	38
417	192	37
418	192	37
419	193	36
420	193	36
421	194	35
422	194	35
423	194	34
424	195	34
425	195	33
426	196	33
427	196	33
428	196	32
429	197	32
430	197	31
431	197	31
432	198	30
433	198	30
434	199	29
435	199	29
436	199	28
437	200	28
438	200	27
439	201	27
440	201	26
441	201	26
442	202	26
443	202	25
444	202	25
445	203	24
446	203	24
447	204	23
448	204	23
449	204	22
450	205	22
451	205	21
452	206	21
453	206	20
454	206	20
455	207	19
456	207	19
457	207	19
458	208	18
459	208	18
460	209	17
461	209	17
462	209	16
463	210	16
464	210	15
465	211	15
466	211	14
467	212	14
468	212	14
469	212	13
470	213	13
471	213	12
472	214	12
473	214	11
474	214	11
475	215	10
476	215	10
477	216	9
478	216	9
479	217	9
480	217	8
481	217	8
482	218	7
483	218	7
484	219	6
485	219	6
486	219	5
487	220	5
488	220	4
489	221	4
490	221	4
491	222	3
492	222	3
493	222	2
494	223	2
495	223	1
496	224	1
497	225	0
498	225	0
499	226	0
